60030 silly lifecycle defined@1.0.0~preinstall: no script for preinstall, continuing
61879 silly build camelcase@1.2.1
61880 info linkStuff camelcase@1.2.1
61881 silly linkStuff camelcase@1.2.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61882 verbose linkBins camelcase@1.2.1
61883 verbose linkMans camelcase@1.2.1
61884 silly build caseless@0.11.0
61885 info linkStuff caseless@0.11.0
61886 silly linkStuff caseless@0.11.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61887 verbose linkBins caseless@0.11.0
61888 verbose linkMans caseless@0.11.0
61889 silly build charm@0.2.1
61890 info linkStuff charm@0.2.1
61891 silly linkStuff charm@0.2.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61892 verbose linkBins charm@0.2.1
61893 verbose linkMans charm@0.2.1
61894 silly build colors@1.0.3
61895 info linkStuff colors@1.0.3
61896 silly linkStuff colors@1.0.3 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/cli-table/node_modules as its parent node_modules
61897 verbose linkBins colors@1.0.3
61898 verbose linkMans colors@1.0.3
61899 silly build cli-table@0.3.1
61900 info linkStuff cli-table@0.3.1
61901 silly linkStuff cli-table@0.3.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61902 verbose linkBins cli-table@0.3.1
61903 verbose linkMans cli-table@0.3.1
61904 silly build clone@1.0.2
61905 info linkStuff clone@1.0.2
61906 silly linkStuff clone@1.0.2 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61907 verbose linkBins clone@1.0.2
61908 verbose linkMans clone@1.0.2
61909 silly build colors@1.1.2
61910 info linkStuff colors@1.1.2
61911 silly linkStuff colors@1.1.2 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61912 verbose linkBins colors@1.1.2
61913 verbose linkMans colors@1.1.2
61914 silly build component-bind@1.0.0
61915 info linkStuff component-bind@1.0.0
61916 silly linkStuff component-bind@1.0.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61917 verbose linkBins component-bind@1.0.0
61918 verbose linkMans component-bind@1.0.0
61919 silly build component-emitter@1.1.2
61920 info linkStuff component-emitter@1.1.2
61921 silly linkStuff component-emitter@1.1.2 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61922 verbose linkBins component-emitter@1.1.2
61923 verbose linkMans component-emitter@1.1.2
61924 silly build component-inherit@0.0.3
61925 info linkStuff component-inherit@0.0.3
61926 silly linkStuff component-inherit@0.0.3 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61927 verbose linkBins component-inherit@0.0.3
61928 verbose linkMans component-inherit@0.0.3
61929 silly build component-props@1.1.1
61930 info linkStuff component-props@1.1.1
61931 silly linkStuff component-props@1.1.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61932 verbose linkBins component-props@1.1.1
61933 verbose linkMans component-props@1.1.1
61934 silly build concat-map@0.0.1
61935 info linkStuff concat-map@0.0.1
61936 silly linkStuff concat-map@0.0.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61937 verbose linkBins concat-map@0.0.1
61938 verbose linkMans concat-map@0.0.1
61939 silly build brace-expansion@1.1.6
61940 info linkStuff brace-expansion@1.1.6
61941 silly linkStuff brace-expansion@1.1.6 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61942 verbose linkBins brace-expansion@1.1.6
61943 verbose linkMans brace-expansion@1.1.6
61944 silly build minimatch@3.0.3
61945 info linkStuff minimatch@3.0.3
61946 silly linkStuff minimatch@3.0.3 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/babel-core/node_modules as its parent node_modules
61947 verbose linkBins minimatch@3.0.3
61948 verbose linkMans minimatch@3.0.3
61949 silly build bluebird@3.4.6
61950 info linkStuff bluebird@3.4.6
61951 silly linkStuff bluebird@3.4.6 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/consolidate/node_modules as its parent node_modules
61952 verbose linkBins bluebird@3.4.6
61953 verbose linkMans bluebird@3.4.6
61954 silly build consolidate@0.14.1
61955 info linkStuff consolidate@0.14.1
61956 silly linkStuff consolidate@0.14.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61957 verbose linkBins consolidate@0.14.1
61958 verbose linkMans consolidate@0.14.1
61959 silly build constants-browserify@0.0.1
61960 info linkStuff constants-browserify@0.0.1
61961 silly linkStuff constants-browserify@0.0.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61962 verbose linkBins constants-browserify@0.0.1
61963 verbose linkMans constants-browserify@0.0.1
61964 silly build content-disposition@0.5.1
61965 info linkStuff content-disposition@0.5.1
61966 silly linkStuff content-disposition@0.5.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61967 verbose linkBins content-disposition@0.5.1
61968 verbose linkMans content-disposition@0.5.1
61969 silly build content-type@1.0.2
61970 info linkStuff content-type@1.0.2
61971 silly linkStuff content-type@1.0.2 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61972 verbose linkBins content-type@1.0.2
61973 verbose linkMans content-type@1.0.2
61974 silly build convert-source-map@1.3.0
61975 info linkStuff convert-source-map@1.3.0
61976 silly linkStuff convert-source-map@1.3.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61977 verbose linkBins convert-source-map@1.3.0
61978 verbose linkMans convert-source-map@1.3.0
61979 silly build cookie@0.3.1
61980 info linkStuff cookie@0.3.1
61981 silly linkStuff cookie@0.3.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61982 verbose linkBins cookie@0.3.1
61983 verbose linkMans cookie@0.3.1
61984 silly build cookie-signature@1.0.6
61985 info linkStuff cookie-signature@1.0.6
61986 silly linkStuff cookie-signature@1.0.6 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61987 verbose linkBins cookie-signature@1.0.6
61988 verbose linkMans cookie-signature@1.0.6
61989 silly build core-js@1.2.7
61990 info linkStuff core-js@1.2.7
61991 silly linkStuff core-js@1.2.7 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61992 verbose linkBins core-js@1.2.7
61993 verbose linkMans core-js@1.2.7
61994 silly build core-util-is@1.0.2
61995 info linkStuff core-util-is@1.0.2
61996 silly linkStuff core-util-is@1.0.2 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
61997 verbose linkBins core-util-is@1.0.2
61998 verbose linkMans core-util-is@1.0.2
61999 silly build assert-plus@1.0.0
62000 info linkStuff assert-plus@1.0.0
62001 silly linkStuff assert-plus@1.0.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/dashdash/node_modules as its parent node_modules
62002 verbose linkBins assert-plus@1.0.0
62003 verbose linkMans assert-plus@1.0.0
62004 silly build dashdash@1.14.0
62005 info linkStuff dashdash@1.14.0
62006 silly linkStuff dashdash@1.14.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62007 verbose linkBins dashdash@1.14.0
62008 verbose linkMans dashdash@1.14.0
62009 silly build date-now@0.1.4
62010 info linkStuff date-now@0.1.4
62011 silly linkStuff date-now@0.1.4 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62012 verbose linkBins date-now@0.1.4
62013 verbose linkMans date-now@0.1.4
62014 silly build console-browserify@1.1.0
62015 info linkStuff console-browserify@1.1.0
62016 silly linkStuff console-browserify@1.1.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62017 verbose linkBins console-browserify@1.1.0
62018 verbose linkMans console-browserify@1.1.0
62019 silly build decamelize@1.2.0
62020 info linkStuff decamelize@1.2.0
62021 silly linkStuff decamelize@1.2.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62022 verbose linkBins decamelize@1.2.0
62023 verbose linkMans decamelize@1.2.0
62024 silly build deep-diff@0.3.4
62025 info linkStuff deep-diff@0.3.4
62026 silly linkStuff deep-diff@0.3.4 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62027 verbose linkBins deep-diff@0.3.4
62028 verbose linkMans deep-diff@0.3.4
62029 silly build type-detect@0.1.1
62030 info linkStuff type-detect@0.1.1
62031 silly linkStuff type-detect@0.1.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/deep-eql/node_modules as its parent node_modules
62032 verbose linkBins type-detect@0.1.1
62033 verbose linkMans type-detect@0.1.1
62034 silly build deep-eql@0.1.3
62035 info linkStuff deep-eql@0.1.3
62036 silly linkStuff deep-eql@0.1.3 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62037 verbose linkBins deep-eql@0.1.3
62038 verbose linkMans deep-eql@0.1.3
62039 silly build deep-equal@0.2.1
62040 info linkStuff deep-equal@0.2.1
62041 silly linkStuff deep-equal@0.2.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62042 verbose linkBins deep-equal@0.2.1
62043 verbose linkMans deep-equal@0.2.1
62044 silly build deep-extend@0.4.1
62045 info linkStuff deep-extend@0.4.1
62046 silly linkStuff deep-extend@0.4.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62047 verbose linkBins deep-extend@0.4.1
62048 verbose linkMans deep-extend@0.4.1
62049 silly build defined@1.0.0
62050 info linkStuff defined@1.0.0
62051 silly linkStuff defined@1.0.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62052 verbose linkBins defined@1.0.0
62053 verbose linkMans defined@1.0.0
62054 silly build delayed-stream@1.0.0
62055 info linkStuff delayed-stream@1.0.0
62056 silly linkStuff delayed-stream@1.0.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62057 verbose linkBins delayed-stream@1.0.0
62058 verbose linkMans delayed-stream@1.0.0
62059 silly build combined-stream@1.0.5
62060 info linkStuff combined-stream@1.0.5
62061 silly linkStuff combined-stream@1.0.5 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62062 verbose linkBins combined-stream@1.0.5
62063 verbose linkMans combined-stream@1.0.5
62064 silly build delegates@1.0.0
62065 info linkStuff delegates@1.0.0
62066 silly linkStuff delegates@1.0.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62067 verbose linkBins delegates@1.0.0
62068 verbose linkMans delegates@1.0.0
62069 silly build depd@1.1.0
62070 info linkStuff depd@1.1.0
62071 silly linkStuff depd@1.1.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62072 verbose linkBins depd@1.1.0
62073 verbose linkMans depd@1.1.0
62074 silly build destroy@1.0.4
62075 info linkStuff destroy@1.0.4
62076 silly linkStuff destroy@1.0.4 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62077 verbose linkBins destroy@1.0.4
62078 verbose linkMans destroy@1.0.4
62079 silly build detective@4.3.1
62080 info linkStuff detective@4.3.1
62081 silly linkStuff detective@4.3.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62082 verbose linkBins detective@4.3.1
62083 verbose linkMans detective@4.3.1
62084 silly build did_it_work@0.0.6
62085 info linkStuff did_it_work@0.0.6
62086 silly linkStuff did_it_work@0.0.6 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62087 verbose linkBins did_it_work@0.0.6
62088 verbose linkMans did_it_work@0.0.6
62089 silly build diff@1.4.0
62090 info linkStuff diff@1.4.0
62091 silly linkStuff diff@1.4.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62092 verbose linkBins diff@1.4.0
62093 verbose linkMans diff@1.4.0
62094 silly build domain-browser@1.1.7
62095 info linkStuff domain-browser@1.1.7
62096 silly linkStuff domain-browser@1.1.7 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62097 verbose linkBins domain-browser@1.1.7
62098 verbose linkMans domain-browser@1.1.7
62099 silly build dottie@1.1.1
62100 info linkStuff dottie@1.1.1
62101 silly linkStuff dottie@1.1.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62102 verbose linkBins dottie@1.1.1
62103 verbose linkMans dottie@1.1.1
62104 silly build duplexer@0.1.1
62105 info linkStuff duplexer@0.1.1
62106 silly linkStuff duplexer@0.1.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62107 verbose linkBins duplexer@0.1.1
62108 verbose linkMans duplexer@0.1.1
62109 silly build ee-first@1.1.1
62110 info linkStuff ee-first@1.1.1
62111 silly linkStuff ee-first@1.1.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62112 verbose linkBins ee-first@1.1.1
62113 verbose linkMans ee-first@1.1.1
62114 silly build emojis-list@2.1.0
62115 info linkStuff emojis-list@2.1.0
62116 silly linkStuff emojis-list@2.1.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62117 verbose linkBins emojis-list@2.1.0
62118 verbose linkMans emojis-list@2.1.0
62119 silly build encodeurl@1.0.1
62120 info linkStuff encodeurl@1.0.1
62121 silly linkStuff encodeurl@1.0.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62122 verbose linkBins encodeurl@1.0.1
62123 verbose linkMans encodeurl@1.0.1
62124 silly build isarray@0.0.1
62125 info linkStuff isarray@0.0.1
62126 silly linkStuff isarray@0.0.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/engine.io-parser/node_modules as its parent node_modules
62127 verbose linkBins isarray@0.0.1
62128 verbose linkMans isarray@0.0.1
62129 silly build has-binary@0.1.6
62130 info linkStuff has-binary@0.1.6
62131 silly linkStuff has-binary@0.1.6 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/engine.io-parser/node_modules as its parent node_modules
62132 verbose linkBins has-binary@0.1.6
62133 verbose linkMans has-binary@0.1.6
62134 silly build memory-fs@0.2.0
62135 info linkStuff memory-fs@0.2.0
62136 silly linkStuff memory-fs@0.2.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/enhanced-resolve/node_modules as its parent node_modules
62137 verbose linkBins memory-fs@0.2.0
62138 verbose linkMans memory-fs@0.2.0
62139 silly build es6-promise@3.3.1
62140 info linkStuff es6-promise@3.3.1
62141 silly linkStuff es6-promise@3.3.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62142 verbose linkBins es6-promise@3.3.1
62143 verbose linkMans es6-promise@3.3.1
62144 silly build escape-html@1.0.3
62145 info linkStuff escape-html@1.0.3
62146 silly linkStuff escape-html@1.0.3 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62147 verbose linkBins escape-html@1.0.3
62148 verbose linkMans escape-html@1.0.3
62149 silly build escape-string-regexp@1.0.5
62150 info linkStuff escape-string-regexp@1.0.5
62151 silly linkStuff escape-string-regexp@1.0.5 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62152 verbose linkBins escape-string-regexp@1.0.5
62153 verbose linkMans escape-string-regexp@1.0.5
62154 silly build esprima-fb@15001.1001.0-dev-harmony-fb
62155 info linkStuff esprima-fb@15001.1001.0-dev-harmony-fb
62156 silly linkStuff esprima-fb@15001.1001.0-dev-harmony-fb has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62157 verbose linkBins esprima-fb@15001.1001.0-dev-harmony-fb
62158 verbose link bins [ { esparse: './bin/esparse.js',
62158 verbose link bins     esvalidate: './bin/esvalidate.js' },
62158 verbose link bins   '/Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/.bin',
62158 verbose link bins   false ]
62159 verbose linkMans esprima-fb@15001.1001.0-dev-harmony-fb
62160 silly gentlyRm /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/.bin/esparse is being purged
62161 verbose gentlyRm don't care about contents; nuking /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/.bin/esparse
62162 silly gentlyRm /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/.bin/esvalidate is being purged
62163 verbose gentlyRm don't care about contents; nuking /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/.bin/esvalidate
62164 silly build esutils@2.0.2
62165 info linkStuff esutils@2.0.2
62166 silly linkStuff esutils@2.0.2 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62167 verbose linkBins esutils@2.0.2
62168 verbose linkMans esutils@2.0.2
62169 silly build etag@1.7.0
62170 info linkStuff etag@1.7.0
62171 silly linkStuff etag@1.7.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62172 verbose linkBins etag@1.7.0
62173 verbose linkMans etag@1.7.0
62174 silly build eventemitter3@1.2.0
62175 info linkStuff eventemitter3@1.2.0
62176 silly linkStuff eventemitter3@1.2.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62177 verbose linkBins eventemitter3@1.2.0
62178 verbose linkMans eventemitter3@1.2.0
62179 silly build events@1.1.1
62180 info linkStuff events@1.1.1
62181 silly linkStuff events@1.1.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62182 verbose linkBins events@1.1.1
62183 verbose linkMans events@1.1.1
62184 silly build events-to-array@1.0.2
62185 info linkStuff events-to-array@1.0.2
62186 silly linkStuff events-to-array@1.0.2 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62187 verbose linkBins events-to-array@1.0.2
62188 verbose linkMans events-to-array@1.0.2
62189 silly build extend@3.0.0
62190 info linkStuff extend@3.0.0
62191 silly linkStuff extend@3.0.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62192 verbose linkBins extend@3.0.0
62193 verbose linkMans extend@3.0.0
62194 silly build extsprintf@1.0.2
62195 info linkStuff extsprintf@1.0.2
62196 silly linkStuff extsprintf@1.0.2 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62197 verbose linkBins extsprintf@1.0.2
62198 verbose linkMans extsprintf@1.0.2
62199 silly build filename-regex@2.0.0
62200 info linkStuff filename-regex@2.0.0
62201 silly linkStuff filename-regex@2.0.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62202 verbose linkBins filename-regex@2.0.0
62203 verbose linkMans filename-regex@2.0.0
62204 silly build inherits@1.0.0
62205 info linkStuff inherits@1.0.0
62206 silly linkStuff inherits@1.0.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/filereader-stream/node_modules as its parent node_modules
62207 verbose linkBins inherits@1.0.0
62208 verbose linkMans inherits@1.0.0
62209 silly build filereader-stream@0.2.0
62210 info linkStuff filereader-stream@0.2.0
62211 silly linkStuff filereader-stream@0.2.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62212 verbose linkBins filereader-stream@0.2.0
62213 verbose linkMans filereader-stream@0.2.0
62214 silly build filesize@3.3.0
62215 info linkStuff filesize@3.3.0
62216 silly linkStuff filesize@3.3.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62217 verbose linkBins filesize@3.3.0
62218 verbose linkMans filesize@3.3.0
62219 silly build async@0.2.10
62220 info linkStuff async@0.2.10
62221 silly linkStuff async@0.2.10 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fireworm/node_modules as its parent node_modules
62222 verbose linkBins async@0.2.10
62223 verbose linkMans async@0.2.10
62224 silly build minimatch@3.0.3
62225 info linkStuff minimatch@3.0.3
62226 silly linkStuff minimatch@3.0.3 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fireworm/node_modules as its parent node_modules
62227 verbose linkBins minimatch@3.0.3
62228 verbose linkMans minimatch@3.0.3
62229 silly build for-in@0.1.6
62230 info linkStuff for-in@0.1.6
62231 silly linkStuff for-in@0.1.6 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62232 verbose linkBins for-in@0.1.6
62233 verbose linkMans for-in@0.1.6
62234 silly build for-own@0.1.4
62235 info linkStuff for-own@0.1.4
62236 silly linkStuff for-own@0.1.4 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62237 verbose linkBins for-own@0.1.4
62238 verbose linkMans for-own@0.1.4
62239 silly build forever-agent@0.6.1
62240 info linkStuff forever-agent@0.6.1
62241 silly linkStuff forever-agent@0.6.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62242 verbose linkBins forever-agent@0.6.1
62243 verbose linkMans forever-agent@0.6.1
62244 silly build forwarded@0.1.0
62245 info linkStuff forwarded@0.1.0
62246 silly linkStuff forwarded@0.1.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62247 verbose linkBins forwarded@0.1.0
62248 verbose linkMans forwarded@0.1.0
62249 silly build fresh@0.3.0
62250 info linkStuff fresh@0.3.0
62251 silly linkStuff fresh@0.3.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62252 verbose linkBins fresh@0.3.0
62253 verbose linkMans fresh@0.3.0
62254 silly build from@0.1.3
62255 info linkStuff from@0.1.3
62256 silly linkStuff from@0.1.3 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62257 verbose linkBins from@0.1.3
62258 verbose linkMans from@0.1.3
62259 silly build fs-readdir-recursive@0.1.2
62260 info linkStuff fs-readdir-recursive@0.1.2
62261 silly linkStuff fs-readdir-recursive@0.1.2 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62262 verbose linkBins fs-readdir-recursive@0.1.2
62263 verbose linkMans fs-readdir-recursive@0.1.2
62264 silly build fs.realpath@1.0.0
62265 info linkStuff fs.realpath@1.0.0
62266 silly linkStuff fs.realpath@1.0.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules as its parent node_modules
62267 verbose linkBins fs.realpath@1.0.0
62268 verbose linkMans fs.realpath@1.0.0
62269 silly build abbrev@1.0.9
62270 info linkStuff abbrev@1.0.9
62271 silly linkStuff abbrev@1.0.9 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62272 verbose linkBins abbrev@1.0.9
62273 verbose linkMans abbrev@1.0.9
62274 silly build ansi-regex@2.0.0
62275 info linkStuff ansi-regex@2.0.0
62276 silly linkStuff ansi-regex@2.0.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62277 verbose linkBins ansi-regex@2.0.0
62278 verbose linkMans ansi-regex@2.0.0
62279 silly build ansi-styles@2.2.1
62280 info linkStuff ansi-styles@2.2.1
62281 silly linkStuff ansi-styles@2.2.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62282 verbose linkBins ansi-styles@2.2.1
62283 verbose linkMans ansi-styles@2.2.1
62284 silly build aproba@1.0.4
62285 info linkStuff aproba@1.0.4
62286 silly linkStuff aproba@1.0.4 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62287 verbose linkBins aproba@1.0.4
62288 verbose linkMans aproba@1.0.4
62289 silly build asn1@0.2.3
62290 info linkStuff asn1@0.2.3
62291 silly linkStuff asn1@0.2.3 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62292 verbose linkBins asn1@0.2.3
62293 verbose linkMans asn1@0.2.3
62294 silly build assert-plus@0.2.0
62295 info linkStuff assert-plus@0.2.0
62296 silly linkStuff assert-plus@0.2.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62297 verbose linkBins assert-plus@0.2.0
62298 verbose linkMans assert-plus@0.2.0
62299 silly build async@1.5.2
62300 info linkStuff async@1.5.2
62301 silly linkStuff async@1.5.2 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62302 verbose linkBins async@1.5.2
62303 verbose linkMans async@1.5.2
62304 silly build aws-sign2@0.6.0
62305 info linkStuff aws-sign2@0.6.0
62306 silly linkStuff aws-sign2@0.6.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62307 verbose linkBins aws-sign2@0.6.0
62308 verbose linkMans aws-sign2@0.6.0
62309 silly build aws4@1.4.1
62310 info linkStuff aws4@1.4.1
62311 silly linkStuff aws4@1.4.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62312 verbose linkBins aws4@1.4.1
62313 verbose linkMans aws4@1.4.1
62314 silly build balanced-match@0.4.2
62315 info linkStuff balanced-match@0.4.2
62316 silly linkStuff balanced-match@0.4.2 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62317 verbose linkBins balanced-match@0.4.2
62318 verbose linkMans balanced-match@0.4.2
62319 silly build buffer-shims@1.0.0
62320 info linkStuff buffer-shims@1.0.0
62321 silly linkStuff buffer-shims@1.0.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62322 verbose linkBins buffer-shims@1.0.0
62323 verbose linkMans buffer-shims@1.0.0
62324 silly build caseless@0.11.0
62325 info linkStuff caseless@0.11.0
62326 silly linkStuff caseless@0.11.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62327 verbose linkBins caseless@0.11.0
62328 verbose linkMans caseless@0.11.0
62329 silly build concat-map@0.0.1
62330 info linkStuff concat-map@0.0.1
62331 silly linkStuff concat-map@0.0.1 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62332 verbose linkBins concat-map@0.0.1
62333 verbose linkMans concat-map@0.0.1
62334 silly build brace-expansion@1.1.5
62335 info linkStuff brace-expansion@1.1.5
62336 silly linkStuff brace-expansion@1.1.5 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62337 verbose linkBins brace-expansion@1.1.5
62338 verbose linkMans brace-expansion@1.1.5
62339 silly build console-control-strings@1.1.0
62340 info linkStuff console-control-strings@1.1.0
62341 silly linkStuff console-control-strings@1.1.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62342 verbose linkBins console-control-strings@1.1.0
62343 verbose linkMans console-control-strings@1.1.0
62344 silly build core-util-is@1.0.2
62345 info linkStuff core-util-is@1.0.2
62346 silly linkStuff core-util-is@1.0.2 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules as its parent node_modules
62347 verbose linkBins core-util-is@1.0.2
62348 verbose linkMans core-util-is@1.0.2
62349 silly build assert-plus@1.0.0
62350 info linkStuff assert-plus@1.0.0
62351 silly linkStuff assert-plus@1.0.0 has /Users/sia/Fullstack/Semester_Junior/juke-router/node_modules/fsevents/node_modules/dashdash/node_modules as its parent node_modules
62352 verbose linkBins assert-plus@1.0.0
62353 verbose linkMans assert-plus@1.0.0
62354 silly build dashdash@1.14.0
